	Unnamed: 0	globalMean	mdiffs	maxdiffs	mindiffs	eigen	sampleName
0	0	781.551143510001	-47.40870380401611	-9.069080352783203	-172.59704780578613	1.0	14112023--s--Lm--st--L628--p--C06--pos005--tm--24--ch--Syto9--z--21
0	0	276.36309864407497	-14.287370443344116	44.63042545318604	-37.59807109832764	1.0	30052023--s--Lm--st--L1764--p--F07--pos003--tm--24--ch--Syto9--z--21
0	0	486.8052133378528	-24.84821753501892	113.620849609375	-66.44046974182129	1.0	18042023--s--Lm--st--L394--p--D06--pos001--tm--24--ch--Syto9--z--21
0	0	176.54035459245955	-24.273018312454223	-1.9011659622192385	-62.845869064331055	1.0	23052023--s--Lm--st--19115--p--F07--pos005--tm--24--ch--Syto9--z--21
0	0	290.76822921207975	-28.2370388507843	17.76430034637451	-89.54242324829102	1.0	30052023--s--Lm--st--L634--p--D04--pos004--tm--24--ch--Syto9--z--21
0	0	528.9787255241757	-50.61592645645142	-3.2728805541992188	-96.15730953216551	1.0	04072023--s--Lm--st--L1823--p--G06--pos004--tm--24--ch--Syto9--z--21
0	0	472.90681280408586	-44.68840107917786	-6.686800003051758	-133.39412307739258	1.0	16052023--s--Lm--st--L455--p--G06--pos002--tm--24--ch--Syto9--z--21
0	0	405.6661239351545	-11.777579021453857	51.187750816345215	-25.800490379333496	1.0	30052023--s--Lm--st--L1764--p--F06--pos003--tm--24--ch--Syto9--z--21
0	0	243.93182668231785	-30.887388372421263	-4.071894645690918	-71.79373836517334	1.0	04072023--s--Lm--st--L1323--p--C08--pos001--tm--24--ch--Syto9--z--21
0	0	360.51963102249874	-44.13222436904907	6.209007263183594	-130.07140159606934	1.0	25042023--s--Lm--st--19115--p--C08--pos003--tm--24--ch--Syto9--z--21
0	0	392.7961206436157	-20.99078722000122	46.45904159545898	-40.4082555770874	1.0	16052023--s--Lm--st--L394--p--C03--pos001--tm--24--ch--Syto9--z--21
0	0	737.0176892507644	-45.21217079162598	28.28583335876465	-74.90170001983643	1.0	13062023--s--Lm--st--L1764--p--G03--pos005--tm--24--ch--Syto9--z--21
0	0	675.4462658564249	-55.31054744720459	-0.5837717056274414	-118.8363447189331	1.0	04072023--s--Lm--st--L1823--p--G06--pos003--tm--24--ch--Syto9--z--21
0	0	719.2914474124	-53.69787802696228	63.0334997177124	-158.18696784973145	1.0	18072023--s--Lm--st--L1823--p--E10--pos004--tm--24--ch--Syto9--z--21
0	0	1585.8294013341267	-104.20095300674438	3.9603662490844727	-156.3417625427246	1.0	07112023--s--Lm--st--L394--p--B04--pos004--tm--24--ch--Syto9--z--21
0	0	331.82275127229235	-29.918498229980468	27.795473098754883	-73.03580474853516	1.0	04072023--s--Lm--st--L1323--p--C10--pos004--tm--24--ch--Syto9--z--21
0	0	303.9977445602417	-38.36811881065368	17.73624610900879	-113.0088882446289	1.0	13062023--s--Lm--st--L634--p--C05--pos001--tm--24--ch--Syto9--z--21
0	0	215.31226017361595	-27.338339853286744	-4.743091583251953	-80.1245927810669	1.0	18072023--s--Lm--st--L1323--p--B05--pos002--tm--24--ch--Syto9--z--21
0	0	1054.92623483567	-67.11066045761109	-32.728689193725586	-166.976393699646	1.0	14112023--s--Lm--st--L455--p--B02--pos004--tm--24--ch--Syto9--z--21
0	0	1117.1005449295044	-66.63245782852172	-11.838257789611816	-277.9901189804077	1.0	13042023--s--Lm--st--L628--p--C06--pos003--tm--24--ch--Syto9--z--21
0	0	575.6488626570929	-25.234639501571657	-1.5349960327148438	-78.64673900604248	1.0	18072023--s--Lm--st--L1823--p--E03--pos004--tm--24--ch--Syto9--z--21
0	0	588.6714874903361	-35.18108215332031	-3.190013885498047	-68.57365036010742	1.0	18042023--s--Lm--st--L394--p--C05--pos003--tm--24--ch--Syto9--z--21
0	0	695.1718675976708	-41.16430320739746	167.12254238128662	-148.39750957489014	1.0	28032023--s--Lm--st--L455--p--D08--pos003--tm--24--ch--Syto9--z--21
0	0	531.2704115368072	-35.26792459487915	80.42922115325928	-121.36924457550047	1.0	28032023--s--Lm--st--L455--p--D03--pos005--tm--24--ch--Syto9--z--21
0	0	124.506392569769	-18.925438785552977	-1.0018424987792969	-72.22595024108887	1.0	23052023--s--Lm--st--19115--p--F07--pos001--tm--24--ch--Syto9--z--21
0	0	443.22044286273774	-27.948174285888676	66.87761306762695	-99.6124849319458	1.0	28032023--s--Lm--st--L455--p--C06--pos005--tm--24--ch--Syto9--z--21
0	0	315.5234982626779	-44.610379219055176	-6.208802223205566	-130.92817211151123	1.0	18072023--s--Lm--st--L1323--p--B10--pos001--tm--24--ch--Syto9--z--21
0	0	1352.8487764086042	-87.8089693069458	28.323796272277832	-133.4394884109497	1.0	07112023--s--Lm--st--L394--p--B04--pos005--tm--24--ch--Syto9--z--21
0	0	436.47492803846086	-54.55066518783569	-6.969175338745117	-239.2431344985962	1.0	30052023--s--Lm--st--L634--p--C05--pos004--tm--24--ch--Syto9--z--21
